,date_place,combined_text
454,"2015-03-31, Austin","dry, hot, warm ||"
455,"2015-04-01, Austin","dry, hot, warm ||"
456,"2015-04-02, Austin","downpour, hot, warm ||"
457,"2015-04-03, Austin","dry, hot, warm ||"
458,"2015-04-04, Austin","downpour, hot, warm ||"
459,"2015-04-05, Austin","dry, hot, warm ||"
460,"2015-04-06, Austin","drizzle, hot, warm ||"
461,"2015-04-07, Austin","dry, hot, warm ||"
462,"2015-04-08, Austin","dry, hot, warm ||"
463,"2015-04-09, Austin","dry, hot, warm ||"
464,"2015-04-10, Austin","drizzle, hot, warm ||"
465,"2015-04-11, Austin","torrential, hot, warm ||"
466,"2015-04-12, Austin","rain, hot, warm ||"
467,"2015-04-13, Austin","torrential, hot, warm ||"
468,"2015-04-14, Austin","rain, hot, warm ||"
469,"2015-04-15, Austin","rain, hot, warm ||"
470,"2015-04-16, Austin","dry, hot, warm ||"
471,"2015-04-17, Austin","torrential, hot, warm ||"
472,"2015-04-18, Austin","torrential, hot, warm ||"
473,"2015-04-19, Austin","downpour, hot, warm ||"
474,"2015-04-20, Austin","torrential, hot, warm ||"
475,"2015-04-21, Austin","dry, hot, warm ||"
476,"2015-04-22, Austin","dry, hot, warm ||"
477,"2015-04-23, Austin","rain, hot, warm ||"
478,"2015-04-24, Austin","rain, hot, hot ||"
479,"2015-04-25, Austin","torrential, hot, warm ||"
480,"2015-04-26, Austin","rain, hot, warm ||"
481,"2015-04-27, Austin","torrential, hot, warm ||"
482,"2015-04-28, Austin","drizzle, hot, warm ||"
483,"2015-04-29, Austin","drizzle, hot, warm ||"
484,"2015-04-30, Austin","dry, hot, warm ||"
485,"2015-05-01, Austin","dry, hot, warm ||"
486,"2015-05-02, Austin","dry, hot, warm ||"
487,"2015-05-03, Austin","dry, hot, warm ||"
488,"2015-05-04, Austin","dry, hot, warm ||"
489,"2015-05-05, Austin","dry, hot, warm ||"
490,"2015-05-06, Austin","downpour, hot, hot ||"
491,"2015-05-07, Austin","dry, hot, hot ||"
492,"2015-05-08, Austin","dry, hot, hot ||"
493,"2015-05-09, Austin","dry, hot, hot ||"
494,"2015-05-10, Austin","dry, hot, hot ||"
495,"2015-05-11, Austin","downpour, hot, hot ||"
496,"2015-05-12, Austin","torrential, hot, warm ||"
497,"2015-05-13, Austin","torrential, hot, warm ||"
498,"2015-05-14, Austin","torrential, hot, warm ||"
499,"2015-05-15, Austin","torrential, hot, hot ||"
500,"2015-05-16, Austin","downpour, hot, warm ||"
501,"2015-05-17, Austin","rain, hot, hot ||"
502,"2015-05-18, Austin","torrential, hot, hot ||"
503,"2015-05-19, Austin","torrential, hot, hot ||"
504,"2015-05-20, Austin","drizzle, hot, hot ||"
505,"2015-05-21, Austin","torrential, hot, hot ||"
506,"2015-05-22, Austin","dry, hot, warm ||"
507,"2015-05-23, Austin","rain, hot, hot ||"
508,"2015-05-24, Austin","torrential, hot, hot ||"
509,"2015-05-25, Austin","dry, hot, hot ||"
510,"2015-05-26, Austin","torrential, hot, warm ||"
511,"2015-05-27, Austin","torrential, hot, warm ||"
512,"2015-05-28, Austin","downpour, hot, warm ||"
513,"2015-05-29, Austin","torrential, hot, warm ||"
514,"2015-05-30, Austin","drizzle, hot, warm ||"
515,"2015-05-31, Austin","torrential, hot, warm ||"
516,"2015-06-01, Austin","dry, hot, warm ||"
517,"2015-06-02, Austin","dry, hot, warm ||"
518,"2015-06-03, Austin","dry, hot, hot ||"
519,"2015-06-04, Austin","dry, hot, warm ||"
520,"2015-06-05, Austin","dry, hot, warm ||"
521,"2015-06-06, Austin","dry, hot, hot ||"
522,"2015-06-07, Austin","dry, scorching, hot ||"
523,"2015-06-08, Austin","dry, scorching, hot ||"
