,index,station,date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
85,85,GHCND:USC00412114,2014-05-06T00:00:00,31.0,0.0,,,311.0,122.0,167.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
86,86,GHCND:USC00412114,2014-05-07T00:00:00,40.0,0.0,,,317.0,167.0,189.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
87,87,GHCND:USC00412114,2014-05-08T00:00:00,54.0,0.0,,,289.0,189.0,239.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
88,88,GHCND:USC00412114,2014-05-09T00:00:00,22.0,513.0,,,244.0,217.0,228.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
89,89,GHCND:USC00412114,2014-05-10T00:00:00,9.0,455.0,,,294.0,161.0,167.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
90,90,GHCND:USC00412114,2014-05-11T00:00:00,,0.0,,,,,,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
91,91,GHCND:USC00412114,2014-05-12T00:00:00,49.0,0.0,,,311.0,239.0,239.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
92,92,GHCND:USC00412114,2014-05-13T00:00:00,18.0,884.0,,,311.0,189.0,189.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
93,93,GHCND:USC00412114,2014-05-14T00:00:00,36.0,86.0,,,189.0,122.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
94,94,GHCND:USC00412114,2014-05-15T00:00:00,0.0,0.0,,,206.0,78.0,78.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
95,95,GHCND:USC00412114,2014-05-16T00:00:00,0.0,0.0,,,261.0,78.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
96,96,GHCND:USC00412114,2014-05-17T00:00:00,31.0,0.0,,,289.0,122.0,150.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
97,97,GHCND:USC00412114,2014-05-18T00:00:00,9.0,0.0,,,294.0,150.0,167.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
98,98,GHCND:USC00412114,2014-05-19T00:00:00,31.0,0.0,,,300.0,167.0,200.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
99,99,GHCND:USC00412114,2014-05-20T00:00:00,36.0,0.0,,,294.0,200.0,206.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
100,100,GHCND:USC00412114,2014-05-21T00:00:00,18.0,0.0,,,311.0,206.0,211.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
101,101,GHCND:USC00412114,2014-05-22T00:00:00,18.0,0.0,,,311.0,206.0,211.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
102,102,GHCND:USC00412114,2014-05-23T00:00:00,,0.0,,,,,,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
